d0,t0,r0,s0,c0,x0,x1,x2,x3,x4,x5,x6,x7
2006-01-02,2006-01-02T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.07,4.29,-0.020000000000000462
2006-01-03,2006-01-03T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.14,4.29,0.03000000000000025
2006-01-04,2006-01-04T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.37,4.29,0.05000000000000071
2006-01-05,2006-01-05T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.31,4.29,0.040000000000000036
2006-01-06,2006-01-06T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.0,4.29,0.019999999999999574
2006-01-09,2006-01-09T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.13,4.29,0.019999999999999574
2006-01-10,2006-01-10T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,10.86,4.29,0.019999999999999574
2006-01-11,2006-01-11T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,10.94,4.29,0.019999999999999574
2006-01-12,2006-01-12T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.2,4.29,0.03000000000000025
2006-01-13,2006-01-13T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.23,4.29,0.020000000000000462
2006-01-16,2006-01-16T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.23,4.29,0.020000000000000462
2006-01-17,2006-01-17T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.91,4.29,0.009999999999999787
2006-01-18,2006-01-18T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,12.25,4.29,0.009999999999999787
2006-01-19,2006-01-19T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.98,4.29,0.009999999999999787
2006-01-20,2006-01-20T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,14.56,4.29,0.0
2006-01-23,2006-01-23T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,13.93,4.29,0.010000000000000675
2006-01-24,2006-01-24T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,13.31,4.29,0.03000000000000025
2006-01-25,2006-01-25T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,12.87,4.29,0.03000000000000025
2006-01-26,2006-01-26T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,12.42,4.29,0.040000000000000036
2006-01-27,2006-01-27T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,11.97,4.29,0.009999999999999787
2006-01-30,2006-01-30T15:30:00,914158d,1,2026-05-11T02:52:18Z,2,0,0,0,0,12.39,4.29,0.020000000000000462
2006-01-31,2006-01-31T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.95,4.29,-0.009999999999999787
2006-02-01,2006-02-01T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.36,4.49,-0.019999999999999574
2006-02-02,2006-02-02T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,13.23,4.49,-0.019999999999999574
2006-02-03,2006-02-03T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.96,4.49,-0.04999999999999982
2006-02-06,2006-02-06T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,13.04,4.49,-0.07000000000000028
2006-02-07,2006-02-07T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,13.59,4.49,-0.040000000000000036
2006-02-08,2006-02-08T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.83,4.49,-0.08000000000000007
2006-02-09,2006-02-09T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,13.12,4.49,-0.1200000000000001
2006-02-10,2006-02-10T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.87,4.49,-0.10000000000000053
2006-02-13,2006-02-13T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,13.35,4.49,-0.09999999999999964
2006-02-14,2006-02-14T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.25,4.49,-0.07000000000000028
2006-02-15,2006-02-15T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.31,4.49,-0.09999999999999964
2006-02-16,2006-02-16T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.48,4.49,-0.10000000000000053
2006-02-17,2006-02-17T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.01,4.49,-0.1200000000000001
2006-02-20,2006-02-20T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.01,4.49,-0.1200000000000001
2006-02-21,2006-02-21T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.41,4.49,-0.13999999999999968
2006-02-22,2006-02-22T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.88,4.49,-0.14999999999999947
2006-02-23,2006-02-23T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.87,4.49,-0.16000000000000014
2006-02-24,2006-02-24T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.46,4.49,-0.16000000000000014
2006-02-27,2006-02-27T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.59,4.49,-0.15000000000000036
2006-02-28,2006-02-28T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.34,4.49,-0.14000000000000057
2006-03-01,2006-03-01T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.54,4.59,-0.1200000000000001
2006-03-02,2006-03-02T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.72,4.59,-0.08000000000000007
2006-03-03,2006-03-03T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,11.96,4.59,-0.08000000000000007
2006-03-06,2006-03-06T15:30:00,914158d,1,2026-05-11T02:52:18Z,3,0,1,0,0,12.74,4.59,-0.02999999999999936
